GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.api,ApplicationPreferenceVO,3,0,0,0,1,0,1,0,1,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.api,RolePreferenceVO,3,0,0,0,1,0,1,0,1,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.api,UserPreferenceVO,3,0,0,0,1,0,1,0,1,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.api,PreferenceVO,130,0,18,0,26,0,22,0,13,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.api,ModulePreferenceVO,3,0,0,0,1,0,1,0,1,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,GenericPreference,61,85,9,9,7,22,14,10,5,10
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,ApplicationPreference,90,52,8,4,14,14,10,6,4,6
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,UserPreference,178,5,24,0,39,2,22,1,10,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,PreferenceKey,6,37,3,3,3,11,3,3,0,3
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,ApplicationPreference.Builder,35,0,0,0,13,0,7,0,7,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,Preferences,133,32,25,1,29,5,17,4,4,4
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,RolePreference,184,0,24,0,41,0,23,0,11,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,ObjectFactory,53,0,0,0,11,0,8,0,8,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,ModulePreference,183,0,24,0,41,0,23,0,11,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,XMLPreferenceDaoImpl,46,99,7,9,13,20,9,6,2,5
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.file,AbstractPreference,0,3,0,0,0,1,0,1,0,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.app,PreferencesApplicationListener,0,10,0,0,0,5,0,2,0,2
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.app,PreferencesModuleConfiguration,0,52,0,0,0,10,0,7,0,7
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.app,PreferencesDistributedConfiguration,3,0,0,0,1,0,1,0,1,0
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.jpa,PreferenceRepositoryImpl,15,3,2,0,2,1,2,1,1,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.jpa,PreferenceEO.Builder,10,45,0,0,4,17,2,9,2,9
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.jpa,PreferenceEO,91,50,0,0,31,15,21,3,21,3
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl.jpa,PreferencesServiceImpl,136,56,7,3,16,15,13,4,9,3
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.impl,PreferenceConverter,354,58,18,2,83,17,18,4,8,4
OpenWMS.org CORE: Preferences,org.openwms.core.configuration,PreferencesController,97,9,4,0,16,4,8,1,6,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration,PreferenceType,0,75,0,0,0,10,0,3,0,3
OpenWMS.org CORE: Preferences,org.openwms.core.configuration,Starter,18,3,0,0,4,1,1,1,1,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration,PropertyScope,0,44,0,0,0,5,0,1,0,1
OpenWMS.org CORE: Preferences,org.openwms.core.configuration.config,ModuleProperties,3,10,0,0,1,4,1,2,1,2
